Wall time,Step,Value
1748349566.9203346,0,0.045443300157785416
1748349570.6706183,1,0.04384142532944679
1748349574.1668432,2,0.04476841166615486
1748349577.4396234,3,0.044098105281591415
1748349580.9490836,4,0.044552598148584366
1748349584.4247508,5,0.045264918357133865
1748349587.6598053,6,0.04522605240345001
1748349590.881057,7,0.047737061977386475
1748349594.3709152,8,0.047469738870859146
1748349597.6758876,9,0.04661162942647934
1748349601.0434852,10,0.048081185668706894
1748349604.251673,11,0.04770581051707268
1748349607.747614,12,0.04572807252407074
1748349611.053337,13,0.047146495431661606
1748349614.5755796,14,0.044752199202775955
1748349617.8399775,15,0.04372277110815048
1748349621.120432,16,0.045290857553482056
1748349624.4712846,17,0.042383842170238495
1748349628.005402,18,0.0427355095744133
1748349631.52807,19,0.042567864060401917
1748349634.8319824,20,0.0440097413957119
1748349638.150085,21,0.04507144168019295
1748349641.3849947,22,0.04358974099159241
1748349644.6362777,23,0.043131038546562195
1748349648.195633,24,0.039908990263938904
1748349651.478378,25,0.042027100920677185
1748349655.1755433,26,0.04166889563202858
1748349659.0953007,27,0.042447805404663086
1748349663.6745522,28,0.04216333106160164
1748349667.2816927,29,0.04059385135769844
1748349670.7093592,30,0.04126611351966858
1748349674.089945,31,0.040645282715559006
1748349677.513506,32,0.04011612385511398
1748349681.2758064,33,0.03996312618255615
1748349684.8361526,34,0.040781259536743164
1748349688.507896,35,0.03994685783982277
1748349691.9791663,36,0.04082389548420906
1748349695.6974292,37,0.039702195674180984
1748349699.2759955,38,0.039693448692560196
1748349702.9488873,39,0.04043685644865036
1748349706.660629,40,0.03764642775058746
1748349710.587642,41,0.038845181465148926
1748441781.430189,42,0.038014575839042664
1748441784.936601,43,0.03807630389928818
1748441788.420642,44,0.03789697587490082
1748441791.9864895,45,0.037934258580207825
1748441795.4102921,46,0.03924741968512535
1748441798.9326603,47,0.037919603288173676
1748441802.1693864,48,0.03780897706747055
1748441805.4974973,49,0.0390654020011425
1748441808.802424,50,0.03754808381199837
1748441812.2455122,51,0.03705690801143646
1748441815.5421803,52,0.03870505839586258
1748441818.9208016,53,0.036335065960884094
1748441822.3081827,54,0.035532496869564056
1748441825.6282046,55,0.03639085590839386
1748441828.9952662,56,0.03548259660601616
1748441832.4041877,57,0.035533469170331955
1748441835.6238184,58,0.03838631510734558
1748441838.898288,59,0.033725738525390625
1748441842.2530787,60,0.03369525447487831
